genres,genre_id
"Autobiography,Memoir;Nonfiction;Biography;Poetry;Biography Memoir;Biography,Autobiography;Mental Health,Mental Illness;Family;Literature;Academic,School",139
"History;Nonfiction;Military History,Civil War;North American Hi...,American History;Biography;Politics,Presidents;Politics;American History,American Civil War;War;Historical",140
"History;Nonfiction;Politics;Classics;North American Hi...,American History;Military History,Civil War;Historical;War;Politics,Presidents;Childrens,Picture Books",141
"Fiction;Literature;Novels;Literature,American;Literary Fiction;Classics;Contemporary;Historical,Historical Fiction;Literature,20th Century;American,Americana",142
"Fiction;Historical,Historical Fiction;Novels;Literature;Literature,American;Politics;Literary Fiction;Literature,20th Century;Contemporary;The United States Of America",143
"Fiction;Novels;Literature,American;Literary Fiction;Literature,20th Century;Contemporary;American,Americana;Literature;Unfinished;Classics",144
"Fiction;Literature,American;Novels;Thriller;Literature,20th Century;Contemporary;Literature;The United States Of America;Literary Fiction;American,Americana",145
"Fiction;Contemporary;Novels;Literature,American;Literature;Literary Fiction;New York;The United States Of America;American,Americana;Literature,21st Century",146
"Fiction;Music;Literature,20th Century;Literature;Literature,American;Novels;Literary Fiction;New York;Contemporary;Unfinished",147
"Fiction;Novels;Literature,American;Literature;Cultural,Greece;Mystery;Literature,20th Century;Literary Fiction;The United States Of America;Contemporary",148
"Fiction;Historical,Historical Fiction;Literature;Novels;Science Fiction,Steampunk;Science Fiction;Literature,American;Literary Fiction;Historical;Contemporary",149
"Fiction;Classics;Literature;Novels;Literature,American;Contemporary;Literary Fiction;Literature,20th Century;The United States Of America;Modern",150
"Fiction;Classics;Literature;Novels;Literature,American;Mystery;Literary Fiction;Contemporary;Literature,20th Century;The United States Of America",151
"Fiction;Classics;Science Fiction;Literature;Historical,Historical Fiction;Novels;Literature,American;War;Literary Fiction;Unfinished",152
"Fiction;Historical,Historical Fiction;Literature;Novels;Literature,American;Classics;Literary Fiction;Historical;Literature,20th Century;The United States Of America",153
"Fiction;Literature;Novels;Literature,American;Literary Fiction;Literature,20th Century;Classics;The United States Of America;Humor;Contemporary",154
"Fiction;Short Stories;Literature;Literature,American;Literature,20th Century;The United States Of America;Contemporary;Novels;Anthologies,Collections;Classics",155
"Fiction;Classics;Novels;Literature;Literature,American;Literary Fiction;Literature,20th Century;The United States Of America;Humor;Cultural,Counter Culture",156
"Nonfiction;Autobiography,Memoir;Biography;Biography Memoir;Audiobook;Death;Biography,Autobiography;Writing,Essays;Psychology;Literature,American",157
"Nonfiction;Writing,Essays;Autobiography,Memoir;History;Classics;Writing,Journalism;Biography;Literature,American;Literature,20th Century;Womens",158
"Fiction;Novels;Literary Fiction;Contemporary;Politics;Literature;Literature,American;Womens;Literature,20th Century;Adult Fiction",159
"Nonfiction;Autobiography,Memoir;Writing,Essays;History;Biography;Biography,Autobiography;Literature,American;Biography Memoir;The United States Of America;North American Hi...,American History",160
"Nonfiction;Writing,Essays;Autobiography,Memoir;Classics;History;Short Stories;Writing,Journalism;Literature,American;Biography;Literature,20th Century",161
"Fiction;Politics;Historical,Historical Fiction;Novels;Literature;Literature,American;Literary Fiction;Contemporary;Literature,20th Century;American,Americana",162
"Nonfiction;Writing,Essays;Autobiography,Memoir;Short Stories;Writing,Journalism;Biography;History;Classics;Literature,American;Politics",163
"Fiction;Classics;Literary Fiction;Novels;Contemporary;Feminism;Literature;Literature,American;Literature,20th Century;Womens",164
"Fiction;Mystery;Literature,American;Novels;Literature;Contemporary;New York;The United States Of America;Classics;Mystery,Crime",165
"Fiction;Mystery;Literature;Literature,American;Novels;Contemporary;Classics;Literature,20th Century;Literary Fiction;Mystery,Crime",166
"Fiction;Mystery;Literature,American;Novels;Literature;Literary Fiction;Literature,20th Century;Mystery,Crime;The United States Of America;Contemporary",167
"Fiction;Mystery;Literature,American;Literature;Literature,20th Century;Novels;The United States Of America;Contemporary;Literary Fiction;New York",168
"Pseudoscience,Conspiracy Theories;Nonfiction",169
"Fiction;Literature,American;Contemporary;New York;Novels;Literature;The United States Of America;Literary Fiction;American,Americana;Literature,21st Century",170
"Fiction;Literature,American;Contemporary;Novels;Literature;The United States Of America;Classics;Literature,20th Century;Roman;Academic,School",171
"Fiction;Literature,American;Literature;Novels;The United States Of America;Contemporary;Literature,20th Century;Literary Fiction;Roman;Classics",172
"Fiction;Literature,American;Novels;Literature;Mystery;Contemporary;Literary Fiction;The United States Of America;Literature,21st Century;Audiobook",173
"Fiction;Literature,American;Novels;Literature;Contemporary;The United States Of America;Literary Fiction;Mystery;Literature,20th Century;Roman",174
"Nonfiction;Short Stories;Writing,Essays;Literature;Autobiography,Memoir;Literature,American;The United States Of America;Biography;Biography,Autobiography;Contemporary",175
"History;Nonfiction;Science;Anthropology;Sociology;Politics;Environment;Economics;Culture,Society;Social Science",176
"Economics;Nonfiction;Business;Economics,Finance;Politics;Environment,Peak Oil",177
"History;Nonfiction;Politics;Anthropology;Economics;Sociology;Science;Culture,Society;Philosophy;History,Archaeology",178
"Nonfiction;Sociology;Politics;History;Psychology;Social Science;Cultural;Culture,Society;Politics,Political Science;Philosophy",179
Nonfiction;Law;Politics,180
"Poetry;Nonfiction;Anthologies;Short Stories;Feminism;Literature;Race;Writing,Essays;Autobiography,Memoir;Social Movements,Social Justice",181
"Biography;Science;Nonfiction;History;Biography,Autobiography;Science,Physics;Autobiography,Memoir;Biography Memoir;Classics;Science,Technology",182
"Biography;Nonfiction;Science;History;Audiobook;Biography Memoir;Science,Physics;Business;Science,Technology;Historical",183
Biography;Science;History;Nonfiction,184
"Science;Science,Technology;Biography;Nonfiction;History",185
"Romance;Sports,Sports;Romance,Contemporary Romance;Contemporary Romance,Sports Romance;Category Romance,Harlequin;Harlequin,Harlequin Blaze;Anthologies;Sports,Baseball;Contemporary;Fiction",186
"Computer Science,Programming;Science,Technology;Reference;Computer Science,Computers;Nonfiction;Computer Science,Technical;Science,Computer Science;Computer Science,Software;Computer Science,Coding;Science,Engineering",187
Reference;Nonfiction,188
"Classics;Fiction;Young Adult;Academic,School;Literature;Science Fiction,Dystopia;Academic,Read For School;Novels;Young Adult,High School;Adventure",189
"History;Nonfiction;History,Ancient History;War;Military,Military History;Cultural,Greece;War,Military Fiction;Literature,Ancient;Classics;History,World History",190
"Fiction;Mystery;Young Adult;Contemporary;Fantasy;Mystery,Crime;Thriller;Adult;Adult Fiction;Drama",191
"Mystery;Fiction;Thriller,Mystery Thriller;Mystery,Cozy Mystery;Thriller;Humor;History,Archaeology;American,Southern;Suspense;Mystery,Crime",192
"Design;Design,Website Design;Reference;Nonfiction;Computer Science,Computers;Science,Technology;Internet,Web;Computer Science,Programming;Science,Computer Science;Computers,Internet",193
"Nonfiction;Reference;Design,Website Design;Computer Science,Computers;Design;Computer Science,Programming;Science,Technology;Internet,Web;Science,Computer Science;Textbooks",194
"Music;Art;Nonfiction;Reference;Design;Art,Photography;History;Anthologies,Collections;Culture,Pop Culture;Art,Art Design",195
"Nonfiction;Music;Autobiography,Memoir;Culture,Pop Culture;Humor;Writing,Essays;Travel;Biography;Cultural;Biography Memoir",196
"Nonfiction;Writing,Essays;Humor;Culture,Pop Culture;Music;Cultural;Autobiography,Memoir;Sociology;Humor,Comedy;Contemporary",197
"Romance;Romance,Historical Romance;Historical;Historical,Regency;Historical,Georgian;Fiction",198
Philosophy;Fiction;Classics;Spirituality;Travel;Psychology;Self Help;Literature;Unfinished;Religion,199
"Childrens,Picture Books;Childrens;Fantasy;Humor;Fantasy,Fairy Tales;Fiction;Fairy Tales,Princesses;Childrens,Storytime;Adventure;Fairy Tales,Fractured Fairy Tales",200
"Philosophy;Religion,Buddhism;Buddhism,Zen;Classics;Spirituality;Religion;Criticism,Literary Criticism;Transport,Motorcycle;Art;Travel",201
"Reference;Sports,Motorcycling",202
"Design;Nonfiction;Art,Art Design;Reference",203
"Fiction;Classics;Short Stories;Cultural,Russia;Literature,Russian Literature;Literature;Literature,19th Century;Classics,Classic Literature;Philosophy;Novels",204
"Classics;Fiction;Historical,Historical Fiction;Cultural,Russia;Literature,Russian Literature;Literature;War;Novels;Historical;Literature,19th Century",205
"Philosophy;Religion;Nonfiction;Classics;Religion,Theology;Religion,Christianity;Cultural,Russia;Spirituality;Christian;Literature,Russian Literature",206
"Fiction;Classics;Philosophy;Politics;Literature;Science Fiction;Novels;Science Fiction,Dystopia;Economics;Business",207
"Philosophy;Nonfiction;Politics;Classics;Economics;Writing,Essays;Psychology;History;Business;Literature",208
"Fiction;Classics;Philosophy;Literature;Novels;Politics;Architecture;Literary Fiction;Literature,American;Classics,Classic Literature",209
"Philosophy;Nonfiction;Politics;Psychology;Classics;Writing,Essays;Economics;History;Modern;Contemporary",210
"Fiction;Classics;Science Fiction,Dystopia;Philosophy;Science Fiction;Academic,School;Literature;Politics;Academic,Read For School;Novels",211
"Fiction;Classics;Philosophy;Historical,Historical Fiction;Literature;Politics;Cultural,Russia;Novels;Science Fiction,Dystopia;Historical",212
"Philosophy;Economics;Nonfiction;Politics;Business;Classics;History;Writing,Essays;Economics,Finance;Science",213
"Philosophy;Nonfiction;Biography;Biography,Autobiography;Psychology;History",214
"Nonfiction;Reference;How To;Sports,Sports;Business,Amazon",215
"History;Nonfiction;Historical,Medieval;History,Ancient History;History,Medieval History;Cultural,Russia;Religion,Islam;Travel;Historical;Religion",216
"Poetry;Nonfiction;Literature,American;Adult;Contemporary;Literature;Humor;Academic,School;Classics;Literary Fiction",217
Nonfiction,218
"Health;Nonfiction;Self Help;Reference;Food and Drink,Food;Health,Nutrition;Medical;Sports,Fitness;History;Health,Medicine",219
"Fiction;Sports,Sports;Sports,Baseball;Classics;Novels;Literature;Literary Fiction;Historical,Historical Fiction;Literature,American;Academic,Read For School",220
"Fiction;Parenting,Adoption;Contemporary;Novels;Family;Adult Fiction;Literary Fiction;Book Club;Adult;Audiobook",221
"Nonfiction;Sociology;Textbooks;History;Language,Writing;Literature,American;Education;Philosophy;Reference;Academic,College",222
"History;Nonfiction;Politics;Academic,School;Textbooks;Science;Modern;Cultural,Latin American;History,World History;Literature,American",223
"Fiction;Historical,Historical Fiction;Science Fiction,Alternate History;Literature;Science Fiction;Novels;Literature,American;Politics;Literature,Jewish;Literary Fiction",224
"Humor;Nonfiction;Humor,Comedy;Writing,Essays;Short Stories;Politics;History;Anthologies,Collections;Religion;Autobiography,Memoir",225
"Short Stories;Fiction;Magical Realism;Classics;Literature;Cultural,Latin American;Literary Fiction;Literature,Latin American Literature;European Literature,Spanish Literature;Fantasy",226
"Fiction;Classics;Magical Realism;Academic,School;Literature;European Literature,Spanish Literature;Novels;Cultural,Latin American;Literary Fiction;Literature,Latin American Literature",227
"Fiction;Classics;Magical Realism;Historical,Historical Fiction;Romance;Literature;Cultural,Latin American;Novels;European Literature,Spanish Literature;Literature,Latin American Literature",228
"Nonfiction;Biography;Autobiography,Memoir;Biography,Autobiography;European Literature,Spanish Literature;Literature;Cultural,Latin American;Classics;Biography Memoir;Nobel Prize",229
"Fiction;Classics;Literature;Romance;Magical Realism;Novels;Cultural,Latin American;European Literature,Spanish Literature;Literature,Latin American Literature;Nobel Prize",230
"Science;Nonfiction;Science,Physics;Science,Astronomy;Science,Popular Science;Philosophy;Space;Science,Mathematics;Unfinished;Audiobook",231
"Religion,Buddhism",232
Travel,233
"Travel;Nonfiction;Reference;European Literature,British Literature;History;Reference,Guidebook",234
"Sports,Sports;Sports,Baseball;Nonfiction;Biography;History;Autobiography,Memoir;Audiobook;Writing,Journalism;Business,Management;Contemporary",235
"Fiction;Science Fiction;Historical,Historical Fiction;Science Fiction,Cyberpunk;Thriller;Historical;War;Science Fiction Fantasy;Fantasy;Novels",236
"Science Fiction;Fiction;Science Fiction,Cyberpunk;Novels;European Literature,Spanish Literature",237
"Fiction;Historical,Historical Fiction;Science Fiction;Fantasy;Historical;Adventure;Literature;Science Fiction Fantasy;Speculative Fiction;Science Fiction,Alternate History",238
"Fiction;Historical,Historical Fiction;Science Fiction;Fantasy;Historical;Science Fiction Fantasy;Science Fiction,Alternate History;Adventure;Speculative Fiction;Novels",239
"Fiction;Science Fiction;Thriller;Mystery;Audiobook;War;Spy Thriller,Espionage;Politics;Thriller,Mystery Thriller;Suspense",240
