Author,author_id
Deidre Shauna Lynch,655
Kim Wilson,656
Tom Carpenter,657
Ernest Hemingway,658
Donald Sutherland,659
Jeanne Sallade Criswell,660
Gary Carey,661
Julian Barnes,662
Gustave Flaubert,663
Francis Steegmuller,664
Douglas Parmée,665
Roger Whitehouse,666
Geoffrey Wall,667
Robert Baldick,668
Jean-Paul Sartre,669
Carol Cosman,670
Jeffrey Eugenides,671
Doris Kearns Goodwin,672
Thomas May,673
John   Adams,674
Abigail Adams,675
Frank Shuffelton,676
Joseph J. Ellis,677
John  Adams,678
John Patrick Diggins,679
Ruth Westheimer,680
Jennifer Watson,681
David D. Burns,682
Elisabeth Kübler-Ross,683
Lynne Ann DeSpelder,684
Albert Lee Strickland,685
Mark Shepard,686
Stephen R. Covey,687
Dan Millman,688
Robert D. San Souci,689
T. Taylor Bruce,690
Lance Armstrong,691
Sally Jenkins,692
John Wilcockson,693
Graham   Watson,694
Truman Capote,695
Reynolds Price,696
Margaret Truman,697
Scott Brick,698
Steven Johnson,699
Temple Grandin,700
Margaret M. Scariano,701
Iris Fry,702
Edith Wharton,703
Laszlo Kubinyi,704
R.W.B. Lewis,705
Maureen Howard,706
Cynthia Griffin Wolff,707
Alton Raible,708
John Lloyd,709
Humphrey Carpenter,710
Christopher Tolkien,711
Ruth S. Noel,712
Christina Scull,713
Wayne G. Hammond,714
E.V. Gordon,715
A.R. Taylor,716
Sarah M.  Anderson,717
Karen Swenson,718
Jeffery Deaver,719
Paul Yee,720
Herman Melville,721
William Hootkins,722
Jan Needle,723
Patrick Benson,724
Carl F. Hovde,725
Michael J. Davey,726
Duncan Wu,727
Geraldine McCaughrean,728
Victor G. Ambrus,729
Edward F. Edinger,730
Julian Markels,731
Elizabeth A. Schultz,732
Steve Martini,733
Terry Pratchett,734
Mark Twain,735
Grover Gardner,736
Susan  Griffith,737
Theocritus,738
Hesiod,739
Glenn W. Most,740
Simon Gikandi,741
H.G. Wells,742
Patrick Parrinder,743
Steven McLean,744
Marina Warner,745
Benjamin Beard,746
Joseph McMoneagle,747
Melvin Burgess,748
John R. Hammond,749
Ursula K. Le Guin,750
Umberto Eco,751
Henri J.M. Nouwen,752
Timothy B. Tyson,753
José Saramago,754
Giovanni Pontiero,755
Peter Sís,756
Pilar del Río,757
